task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score,run_time_seconds,avg_time_per_sample_seconds,_source
antonyms,flan-t5-large,positive,3,0,False,42,0.0,False,0.59,13.174,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,3,0,False,43,0.0,False,0.59,13.175,0.132,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,3,0,False,44,0.0,False,0.59,13.067,0.131,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,4,0,False,42,0.0,False,0.53,13.397,0.134,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,4,0,False,43,0.0,False,0.53,13.367,0.134,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
antonyms,flan-t5-large,positive,4,0,False,44,0.0,False,0.53,13.379,0.134,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\positive\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,1,0,False,42,0.0,False,0.76,9.104,0.364,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,1,0,False,43,0.0,False,0.76,9.558,0.382,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,1,0,False,44,0.0,False,0.64,9.202,0.368,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,2,0,False,42,0.0,False,0.6,9.135,0.365,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,2,0,False,43,0.0,False,0.56,9.184,0.367,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,2,0,False,44,0.0,False,0.48,9.041,0.362,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,3,0,False,42,0.0,False,0.6,9.513,0.381,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,3,0,False,43,0.0,False,0.64,9.337,0.373,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,3,0,False,44,0.0,False,0.52,9.209,0.368,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,4,0,False,42,0.0,False,0.6,9.190,0.368,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,4,0,False,43,0.0,False,0.56,9.204,0.368,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,ambiguous,4,0,False,44,0.0,False,0.52,9.150,0.366,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\ambiguous\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,negative_control,1,0,False,42,0.0,False,0.52,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,negative_control,1,0,False,43,0.0,False,0.6,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,negative_control,1,0,False,44,0.0,False,0.52,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
cause_and_effect,flan-t5-large,negative_control,2,0,False,42,0.0,False,0.64,,,C:\Users\Thundercrow\Desktop\DESCARTES\M2\NegativePrompt_H1\results\negative_control\flan-t5-large\results.csv
